album_id,album_name,release_date,album_url,album_tracks
7fDOsfo0KfyUV2crgrG6zR,Suniyan Suniyan,2024-04-12,https://open.spotify.com/album/7fDOsfo0KfyUV2crgrG6zR,1
5ocQ8RmwkpQ2mUwYSgMMH9,The Brownprint,2024-08-30,https://open.spotify.com/album/5ocQ8RmwkpQ2mUwYSgMMH9,9
3IbKcMtNRze5t0ANwdp45H,Desi Kalakaar,2014-09-26,https://open.spotify.com/album/3IbKcMtNRze5t0ANwdp45H,8
4UPEfC1TJNAlObvA9a5Fkx,Dil Tu Jaan Tu,2024-06-11,https://open.spotify.com/album/4UPEfC1TJNAlObvA9a5Fkx,1
4ahg47diWPOQ6d6C8e6PHI,Badlapur (Original Motion Picture Soundtrack),2014-12-09,https://open.spotify.com/album/4ahg47diWPOQ6d6C8e6PHI,8
73vfz6Szer7i3GFIesix6l,Tu hai kahan,2023-10-16,https://open.spotify.com/album/73vfz6Szer7i3GFIesix6l,1
3vVIhgkDoC0vRBba5drHPe,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-02-02,https://open.spotify.com/album/3vVIhgkDoC0vRBba5drHPe,1
4AGLzJHGevDOnuHsQ0gxO5,"Aasa Kooda (From ""Think Indie"")",2024-06-13,https://open.spotify.com/album/4AGLzJHGevDOnuHsQ0gxO5,1
3tNH9Fp4dm3qa3Kr4cv5uJ,One Love,2023-08-18,https://open.spotify.com/album/3tNH9Fp4dm3qa3Kr4cv5uJ,1
3WLJmMZUeDOuERFAk1Mxs6,Jawan,2023-09-05,https://open.spotify.com/album/3WLJmMZUeDOuERFAk1Mxs6,7
3E0V1VegCFH9SeRSNWFKki,Aavesham (Original Motion Picture Soundtrack),2024-04-19,https://open.spotify.com/album/3E0V1VegCFH9SeRSNWFKki,9
0cJXodCZCl2EWRNcw6m1eJ,"Tainu Khabar Nahi (From ""Munjya"")",2024-05-31,https://open.spotify.com/album/0cJXodCZCl2EWRNcw6m1eJ,1
1RNEvKlb3YovuiE8Gw5VOO,Laila Majnu (Original Motion Picture Soundtrack),2018-10-30,https://open.spotify.com/album/1RNEvKlb3YovuiE8Gw5VOO,11
1VZDqgb1ALde0CFMIvEGNr,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-19,https://open.spotify.com/album/1VZDqgb1ALde0CFMIvEGNr,1
1OO05SXoc1JTyvGbxi75Pm,"Fear Song (From ""Devara Part 1"") [Telugu]",2024-05-19,https://open.spotify.com/album/1OO05SXoc1JTyvGbxi75Pm,1
6qe761tZyhwboJVLXlXJ7B,Samjho Na,2022-02-10,https://open.spotify.com/album/6qe761tZyhwboJVLXlXJ7B,1
1wt2WZBZZ9GhM0AC61l7SS,Heeriye (feat. Arijit Singh),2023-07-25,https://open.spotify.com/album/1wt2WZBZZ9GhM0AC61l7SS,1
1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,https://open.spotify.com/album/1WwkojG9sjMSrFVz4D51W0,10
3PI3er7mHLniPndwdo0mlA,Mr. And Mrs. Mahi (Original Motion Picture Soundtrack),2024-05-24,https://open.spotify.com/album/3PI3er7mHLniPndwdo0mlA,7
75lhBPvfb1RqeiuRZ6hOHN,"Jaanam (From ""Bad Newz"")",2024-07-09,https://open.spotify.com/album/75lhBPvfb1RqeiuRZ6hOHN,1
3vBso6gFPmEwstdMXn3Ahi,"Soni Soni (From ""Ishq Vishk Rebound"")",2024-05-24,https://open.spotify.com/album/3vBso6gFPmEwstdMXn3Ahi,1
3vDIjYB1eatEoGlVoZWUFs,Best of Romance: Atif Aslam & Pritam,2023-04-20,https://open.spotify.com/album/3vDIjYB1eatEoGlVoZWUFs,8
381lOukp7nV59bJS13TkPe,Once Upon Ay Time In Mumbai Dobaara !,2013-07-22,https://open.spotify.com/album/381lOukp7nV59bJS13TkPe,5
3IbKcMtNRze5t0ANwdp45H,Desi Kalakaar,2014-09-26,https://open.spotify.com/album/3IbKcMtNRze5t0ANwdp45H,8
6mOSDGo8ZREISAbaiTMW5J,Dunki,2023-12-20,https://open.spotify.com/album/6mOSDGo8ZREISAbaiTMW5J,8
6Iajx5eba54JLTDf97Me8p,"Matta (From ""The Greatest Of All Time"")",2024-08-31,https://open.spotify.com/album/6Iajx5eba54JLTDf97Me8p,1
